DATETIME,DBTM (m),DMEA (m),MFIA (L/min),RPMA (rpm),SPPA (bar),WOBA (ton)
2010-06-29T00:00:03Z,1825.37,2924.27,0,0,4.4,0
2010-06-29T00:00:08Z,1824.81,2924.27,0,0,4.7,0
2010-06-29T00:00:13Z,1819.98,2924.27,0,0,4.8,0
2010-06-29T00:00:18Z,1820.1,2924.27,0,0,4.6,0
2010-06-29T00:00:23Z,1809.67,2924.27,0,0,4.5,0
2010-06-29T00:00:28Z,1820.1,2924.27,0,0,4.6,0
2010-06-29T00:00:33Z,1820.1,2924.27,0,0,4.7,0
2010-06-29T00:00:38Z,1820.1,2924.27,0,0,4.5,0
2010-06-29T00:00:43Z,1820.1,2924.27,0,0,4.3,0
2010-06-29T00:00:48Z,1820.1,2924.27,0,0,4,0
2010-06-29T00:00:53Z,1820.1,2924.27,0,0,4,0
2010-06-29T00:00:58Z,1820.1,2924.27,0,0,3.9,0
2010-06-29T00:01:03Z,1809.67,2924.27,0,0,3.8,0
2010-06-29T00:01:08Z,1809.67,2924.27,0,0,3.7,0
2010-06-29T00:01:13Z,1809.67,2924.27,0,0,3.9,0
2010-06-29T00:01:18Z,1809.67,2924.27,0,0,4.4,0
2010-06-29T00:01:23Z,1809.67,2924.27,0,0,3.8,0
2010-06-29T00:01:28Z,1809.67,2924.27,0,0,3.8,17.46
2010-06-29T00:01:33Z,1802.9,2924.27,0,0,3.9,0
2010-06-29T00:01:38Z,1798.77,2924.27,0,0,4,0
2010-06-29T00:01:43Z,1792.36,2924.27,0,0,4.1,0
2010-06-29T00:01:48Z,1788.19,2924.27,0,0,4.5,0
2010-06-29T00:01:53Z,1785.55,2924.27,0,0,4.4,0
2010-06-29T00:01:58Z,1783.61,2924.27,0,0,4.5,0
2010-06-29T00:02:03Z,1781.84,2924.27,0,0,4.6,0
2010-06-29T00:02:08Z,1781.96,2924.27,0,0,4.6,0
2010-06-29T00:02:13Z,1782.08,2924.27,0,0,4.5,0
2010-06-29T00:02:18Z,1782.08,2924.27,0,0,4.6,0
2010-06-29T00:02:23Z,1782.08,2924.27,0,0,4.7,0
2010-06-29T00:02:28Z,1782.08,2924.27,0,0,4.6,0
2010-06-29T00:02:33Z,1782.08,2924.27,0,0,4.8,0
2010-06-29T00:02:38Z,1782.08,2924.27,0,0,4.4,0
2010-06-29T00:02:43Z,1782.08,2924.27,0,0,4.4,0
2010-06-29T00:02:48Z,1782.08,2924.27,0,0,4.2,0
2010-06-29T00:02:53Z,1782.08,2924.27,0,0,4,0
2010-06-29T00:02:58Z,1782.08,2924.27,0,0,3.9,0
2010-06-29T00:03:03Z,1782.08,2924.27,0,0,3.9,0
2010-06-29T00:03:08Z,1782.08,2924.27,0,0,3.9,0
2010-06-29T00:03:13Z,1782.08,2924.27,0,0,3.8,0
2010-06-29T00:03:18Z,1782.08,2924.27,0,0,3.8,0
2010-06-29T00:03:23Z,1782.08,2924.27,0,0,4,0
2010-06-29T00:03:28Z,1781.78,2924.27,0,0,3.9,0
2010-06-29T00:03:33Z,1781.72,2924.27,0,0,4,0
2010-06-29T00:03:38Z,1781.73,2924.27,0,0,4.2,0
2010-06-29T00:03:43Z,1781.28,2924.27,0,0,3.8,0
2010-06-29T00:03:48Z,1778.62,2924.27,0,0,3.8,0
2010-06-29T00:03:53Z,1772.48,2924.27,0,0,3.9,0
2010-06-29T00:03:58Z,1768.27,2924.27,0,0,4,0
2010-06-29T00:04:03Z,1762.02,2924.27,0,0,4.2,0
2010-06-29T00:04:08Z,1758.63,2924.27,0,0,4.4,0
2010-06-29T00:04:13Z,1754.88,2924.27,0,0,4.6,0
2010-06-29T00:04:18Z,1754.35,2924.27,0,0,4.6,0
2010-06-29T00:04:23Z,1754.47,2924.27,0,0,4.6,0
2010-06-29T00:04:28Z,1754.47,2924.27,0,0,4.6,0
2010-06-29T00:04:33Z,1754.47,2924.27,0,0,4.6,0
2010-06-29T00:04:38Z,1754.47,2924.27,0,0,4.6,0
2010-06-29T00:04:43Z,1754.47,2924.27,0,0,4.5,0
2010-06-29T00:04:48Z,1754.47,2924.27,0,0,4.7,0
2010-06-29T00:04:53Z,1754.47,2924.27,0,0,4.1,0
2010-06-29T00:04:58Z,1754.47,2924.27,0,0,4,0
2010-06-29T00:05:03Z,1754.47,2924.27,0,0,4,0
2010-06-29T00:05:08Z,1754.47,2924.27,0,0,3.9,0
2010-06-29T00:05:13Z,1754.47,2924.27,0,0,3.8,0
2010-06-29T00:05:18Z,1754.47,2924.27,0,0,3.8,0
2010-06-29T00:05:23Z,1754.47,2924.27,0,0,4,0
2010-06-29T00:05:28Z,1754.47,2924.27,0,0,3.9,0
2010-06-29T00:05:33Z,1754.47,2924.27,0,0,3.9,0
2010-06-29T00:05:38Z,1754.47,2924.27,0,0,4.3,0
2010-06-29T00:05:43Z,1754.47,2924.27,0,0,4.1,0
2010-06-29T00:05:48Z,1753.98,2924.27,0,0,3.9,0
2010-06-29T00:05:53Z,1749.4,2924.27,0,0,3.9,0
2010-06-29T00:05:58Z,1745.39,2924.27,0,0,4,0
2010-06-29T00:06:03Z,1739.1,2924.27,0,0,4.1,0
2010-06-29T00:06:08Z,1734.9,2924.27,0,0,4.2,0
2010-06-29T00:06:13Z,1729.23,2924.27,0,0,4.8,0
2010-06-29T00:06:18Z,1726.78,2924.27,0,0,4.7,0
2010-06-29T00:06:23Z,1727.02,2924.27,0,0,4.6,0
2010-06-29T00:06:28Z,1727.11,2924.27,0,0,4.6,0
2010-06-29T00:06:33Z,1727.11,2924.27,0,0,4.5,0
2010-06-29T00:06:38Z,1727.11,2924.27,0,0,4.6,0
2010-06-29T00:06:43Z,1727.11,2924.27,0,0,4.5,0
2010-06-29T00:06:48Z,1727.11,2924.27,0,0,4.3,0
2010-06-29T00:06:53Z,1727.11,2924.27,0,0,4.1,0
2010-06-29T00:06:58Z,1727.11,2924.27,0,0,4,0
2010-06-29T00:07:03Z,1727.11,2924.27,0,0,3.9,0
2010-06-29T00:07:08Z,1727.11,2924.27,0,0,3.8,0
2010-06-29T00:07:13Z,1727.11,2924.27,0,0,3.8,0
2010-06-29T00:07:18Z,1727.11,2924.27,0,0,3.9,0
2010-06-29T00:07:23Z,1727.11,2924.27,0,0,3.9,0
2010-06-29T00:07:28Z,1727.11,2924.27,0,0,4.1,0
2010-06-29T00:07:33Z,1726.79,2924.27,0,0,3.8,0
2010-06-29T00:07:38Z,1724.93,2924.27,0,0,3.8,0
2010-06-29T00:07:43Z,1719.13,2924.27,0,0,3.9,0
2010-06-29T00:07:48Z,1714.98,2924.27,0,0,4,0
2010-06-29T00:07:53Z,1708.55,2924.27,0,0,4.2,0
2010-06-29T00:07:58Z,1704.13,2924.27,0,0,4.4,0
2010-06-29T00:08:03Z,1699.78,2924.27,0,0,4.6,0
2010-06-29T00:08:08Z,1699.51,2924.27,0,0,4.7,0
2010-06-29T00:08:13Z,1699.73,2924.27,0,0,4.6,0
2010-06-29T00:08:18Z,1699.73,2924.27,0,0,4.6,0
2010-06-29T00:08:23Z,1699.73,2924.27,0,0,4.6,0
2010-06-29T00:08:28Z,1699.73,2924.27,0,0,4.6,0
2010-06-29T00:08:33Z,1699.73,2924.27,0,0,4.5,0
2010-06-29T00:08:38Z,1699.73,2924.27,0,0,5,0
2010-06-29T00:08:43Z,1699.73,2924.27,0,0,4.5,0
2010-06-29T00:08:48Z,1699.73,2924.27,0,0,4.2,0
2010-06-29T00:08:53Z,1699.73,2924.27,0,0,4,0
2010-06-29T00:08:58Z,1699.73,2924.27,0,0,3.9,0
2010-06-29T00:09:03Z,1699.73,2924.27,0,0,3.9,0
2010-06-29T00:09:08Z,1699.73,2924.27,0,0,3.9,0
2010-06-29T00:09:13Z,1699.73,2924.27,0,0,4.3,0
2010-06-29T00:09:18Z,1699.73,2924.27,0,0,3.9,0
2010-06-29T00:09:23Z,1699.73,2924.27,0,0,3.9,0
2010-06-29T00:09:28Z,1699.73,2924.27,0,0,3.9,9.64
2010-06-29T00:09:33Z,1699.5,2924.27,0,0,4,0
2010-06-29T00:09:38Z,1699.48,2924.27,0,0,3.9,0
2010-06-29T00:09:43Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:09:48Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:09:53Z,1699.47,2924.27,0,0,4,0
2010-06-29T00:09:58Z,1699.52,2924.27,0,0,4.2,0
2010-06-29T00:10:03Z,1699.59,2924.27,0,0,3.9,0
2010-06-29T00:10:08Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:10:13Z,1699.48,2924.27,0,0,3.9,0
2010-06-29T00:10:18Z,1699.48,2924.27,0,0,3.9,0
2010-06-29T00:10:23Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:10:28Z,1699.5,2924.27,0,0,4.2,0
2010-06-29T00:10:33Z,1699.54,2924.27,0,0,4.4,0
2010-06-29T00:10:38Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:10:43Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:10:48Z,1699.47,2924.27,0,0,4,0
2010-06-29T00:10:53Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:10:58Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:11:03Z,1699.48,2924.27,0,0,3.9,0
2010-06-29T00:11:08Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:11:13Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:11:18Z,1699.47,2924.27,0,0,3.9,0
2010-06-29T00:11:23Z,1699.48,2924.27,0,0,3.9,0
2010-06-29T00:11:28Z,1699.48,2924.27,0,0,4,0
