Well Name,Wellbore Name,Operation Name,Rig Name,Start Date,Start Time,End Time,Tour,Duration (s),Duration (hr),Rig State,Internal Rig State,Hole Start Depth MD,Hole End Depth MD,Bit Start Depth MD,Bit End Depth MD,Description,Class Code,Phase Code,Task Code,User Code
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,11:32:10 AM,11:32:20 AM,Day Tour,10,0.003,23,23,"1,100.00","1,100.00",45.3,45.3,[23] Rotating,P,DR,P50,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:10:40 PM,12:43:50 PM,Day Tour,"1,990",0.553,31,31,"1,100.00","1,100.00",74.5,84.9,[31] In Slips - Casing,P,CSG,RIO,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:10:40 PM,2:21:20 PM,Day Tour,"7,840",2.178,5,5,"1,100.00","1,100.00",74.5,281.2,[5] Casing Run,P,CSG,RIO,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:11:25 PM,12:40:15 PM,Day Tour,"1,730",0.481,44,44,"1,100.00","1,100.00",74.7,85,[44] Slips to Slips - Casing,P,CSG,P23,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:11:30 PM,12:40:50 PM,Day Tour,"1,760",0.489,47,47,"1,100.00","1,100.00",74.5,81.3,[47] Casing Block (Up/Down),P,,,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:41:20 PM,12:43:40 PM,Day Tour,140,0.039,47,47,"1,100.00","1,100.00",84.9,85,[47] Casing Block (Up/Down),P,,,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:46:50 PM,12:47:15 PM,Day Tour,25,0.007,44,44,"1,100.00","1,100.00",84.9,94.5,[44] Slips to Slips - Casing,P,CSG,P23,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:46:55 PM,12:47:50 PM,Day Tour,55,0.015,47,47,"1,100.00","1,100.00",84.8,87.2,[47] Casing Block (Up/Down),P,,,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:47:15 PM,12:53:30 PM,Day Tour,375,0.104,31,31,"1,100.00","1,100.00",84.8,94.2,[31] In Slips - Casing,P,CSG,RIO,
Loris 41,Loris 41,RSD,Offshore Rig 1,1/7/2019,12:57:00 PM,12:57:55 PM,Day Tour,55,0.015,44,44,"1,100.00","1,100.00",94.2,104.4,[44] Slips to Slips - Casing,P,CSG,P23,
