Well Name,Wellbore Name,Operation Name,Rig Name,Start Date,Start Time,End Time,Tour,Duration (s),Duration (hr),Rig State,Internal Rig State,Hole Start Depth MD,Hole End Depth MD,Bit Start Depth MD,Bit End Depth MD,Description,Class Code,Phase Code,Task Code,User Code
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,10:59:13 AM,11:09:14 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:09:15 AM,11:19:16 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:19:17 AM,11:29:18 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:29:19 AM,11:39:20 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:39:21 AM,11:49:22 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:49:23 AM,11:59:24 AM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,11:59:25 AM,12:09:26 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:09:27 PM,12:19:28 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:19:29 PM,12:29:30 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:29:31 PM,12:39:32 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:39:33 PM,12:49:34 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:49:35 PM,12:59:36 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,12:59:37 PM,1:09:38 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:09:39 PM,1:19:40 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:19:41 PM,1:29:42 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:29:43 PM,1:39:44 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:39:45 PM,1:49:46 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:49:47 PM,1:59:48 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,1:59:49 PM,2:09:50 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,2:09:51 PM,2:19:52 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,2:19:53 PM,2:29:54 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,2:29:55 PM,2:39:56 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,2:39:57 PM,2:49:58 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,2:49:59 PM,3:00:00 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:00:01 PM,3:10:02 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Well Name,Wellbore Name,Operation Name,Rig Name,Start Date,Start Time,End Time,Tour,Duration (s),Duration (hr),Rig State,Internal Rig State,Hole Start Depth MD,Hole End Depth MD,Bit Start Depth MD,Bit End Depth MD,Description,Class Code,Phase Code,Task Code,User Code
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:10:03 PM,3:20:04 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:20:05 PM,3:30:06 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:30:07 PM,3:40:08 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:40:09 PM,3:50:10 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
Land Well 1,Land Well 1,Land Well 1,DPM Rig 3,1/31/19,3:50:11 PM,4:00:12 PM,Day Tour,601,0.167,10,10,158.6,158.6,158.6,158.6,[10] Surface,TP,DR,OTH,
