Well Name,Wellbore Name,Operation Name,Rig Name,Start Date,Start Time,End Time,Tour,Duration (s),Duration (hr),Rig State,Internal Rig State,Hole Start Depth MD,Hole End Depth MD,Bit Start Depth MD,Bit End Depth MD,Description,Class Code,Phase Code,Task Code,User Code
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,8:37:39 AM,8:47:40 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,8:47:41 AM,8:57:42 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,8:57:43 AM,9:07:44 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:07:45 AM,9:17:46 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:17:47 AM,9:27:48 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:27:49 AM,9:37:50 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:37:51 AM,9:47:52 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:47:53 AM,9:57:54 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,9:57:55 AM,10:07:56 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:07:57 AM,10:17:58 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:17:59 AM,10:28:00 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:28:01 AM,10:38:02 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:38:03 AM,10:48:04 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:48:05 AM,10:58:06 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,10:58:07 AM,11:08:08 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:08:09 AM,11:18:10 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:18:11 AM,11:28:12 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:28:13 AM,11:38:14 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:38:15 AM,11:48:16 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:48:17 AM,11:58:18 AM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,11:58:19 AM,12:08:20 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:08:21 PM,12:18:22 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:18:23 PM,12:28:24 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:28:25 PM,12:38:26 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:38:27 PM,12:48:28 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Well Name,Wellbore Name,Operation Name,Rig Name,Start Date,Start Time,End Time,Tour,Duration (s),Duration (hr),Rig State,Internal Rig State,Hole Start Depth MD,Hole End Depth MD,Bit Start Depth MD,Bit End Depth MD,Description,Class Code,Phase Code,Task Code,User Code
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:48:29 PM,12:58:30 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,12:58:30 PM,1:08:31 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,1:08:33 PM,1:18:34 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,1:18:35 PM,1:28:36 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
Land Well 2,Land Well 2,Land Well 2,DPM Rig 3,1/8/19,1:28:38 PM,1:38:39 PM,Day Tour,601,0.167,10,10,584.8,584.8,154.8,154.8,[10] Surface,TP,DR,OTH,
